,time,status
0,0.0,unsure
1,0.05,unsure
2,0.1,unsure
3,0.15,unsure
4,0.2,unsure
5,0.25,unsure
6,0.3,unsure
7,0.35,unsure
8,0.4,unsure
9,0.45,unsure
10,0.5,unsure
11,0.55,unsure
12,0.6,unsure
13,0.65,unsure
14,0.7,unsure
15,0.75,unsure
16,0.8,unsure
17,0.85,unsure
18,0.9,unsure
19,0.95,unsure
20,1.0,unsure
21,1.05,unsure
22,1.1,unsure
23,1.15,unsure
24,1.2,unsure
25,1.25,unsure
26,1.3,unsure
27,1.35,unsure
28,1.4,unsure
29,1.45,unsure
30,1.5,unsure
31,1.55,unsure
32,1.6,unsure
33,1.65,unsure
34,1.7,unsure
35,1.75,unsure
36,1.8,unsure
37,1.85,unsure
38,1.9,unsure
39,1.95,unsure
40,2.0,unsure
41,2.05,unsure
42,2.1,unsure
43,2.15,unsure
44,2.2,unsure
45,2.25,unsure
46,2.3,unsure
47,2.35,unsure
48,2.4,unsure
49,2.45,unsure
50,2.5,unsure
51,2.55,unsure
52,2.6,unsure
53,2.65,unsure
54,2.7,unsure
55,2.75,unsure
56,2.8,unsure
57,2.85,unsure
58,2.9,unsure
59,2.95,unsure
60,3.0,unsure
61,3.05,unsure
62,3.1,unsure
63,3.15,unsure
64,3.2,unsure
65,3.25,unsure
66,3.3,unsure
67,3.35,unsure
68,3.4,unsure
69,3.45,unsure
70,3.5,unsure
71,3.55,unsure
72,3.6,unsure
73,3.65,unsure
74,3.7,unsure
75,3.75,unsure
76,3.8,unsure
77,3.85,unsure
78,3.9,unsure
79,3.95,unsure
80,4.0,unsure
81,4.05,unsure
82,4.1,unsure
83,4.15,unsure
84,4.2,unsure
85,4.25,unsure
86,4.3,unsure
87,4.35,unsure
88,4.4,unsure
89,4.45,unsure
90,4.5,unsure
91,4.55,unsure
92,4.6,unsure
93,4.65,unsure
94,4.7,unsure
95,4.75,unsure
96,4.8,unsure
97,4.85,unsure
98,4.9,unsure
99,4.95,unsure
100,5.0,unsure
101,5.05,unsure
102,5.1,unsure
103,5.15,unsure
104,5.2,unsure
105,5.25,unsure
106,5.3,unsure
107,5.35,unsure
108,5.4,unsure
109,5.45,unsure
110,5.5,unsure
111,5.55,unsure
112,5.6,unsure
113,5.65,unsure
114,5.7,unsure
115,5.75,unsure
116,5.8,unsure
117,5.85,unsure
118,5.9,unsure
119,5.95,unsure
120,6.0,unsure
121,6.05,unsure
122,6.1,unsure
123,6.15,unsure
124,6.2,unsure
125,6.25,unsure
126,6.3,unsure
127,6.35,unsure
128,6.4,unsure
129,6.45,unsure
130,6.5,unsure
131,6.55,unsure
132,6.6,unsure
133,6.65,unsure
134,6.7,unsure
135,6.75,unsure
136,6.8,unsure
137,6.85,unsure
138,6.9,unsure
139,6.95,unsure
140,7.0,unsure
141,7.05,unsure
142,7.1,green
143,7.15,green
144,7.2,green
145,7.25,green
146,7.3,green
147,7.35,green
148,7.4,green
149,7.45,green
150,7.5,green
151,7.55,green
152,7.6,green
153,7.65,green
154,7.7,green
155,7.75,green
156,7.8,green
157,7.85,green
158,7.9,green
159,7.95,green
160,8.0,green
161,8.05,green
162,8.1,green
163,8.15,green
164,8.2,green
165,8.25,green
166,8.3,green
167,8.35,green
168,8.4,green
169,8.45,green
170,8.5,green
171,8.55,green
172,8.6,green
173,8.65,green
174,8.7,green
175,8.75,green
176,8.8,green
177,8.85,green
178,8.9,green
179,8.95,green
180,9.0,green
181,9.05,green
182,9.1,green
183,9.15,green
184,9.2,green
185,9.25,green
186,9.3,green
187,9.35,green
188,9.4,green
189,9.45,green
190,9.5,green
191,9.55,green
192,9.6,green
193,9.65,green
194,9.7,green
195,9.75,green
196,9.8,green
197,9.85,green
198,9.9,green
199,9.95,green
200,10.0,green
201,10.05,green
202,10.1,green
203,10.15,green
204,10.2,green
